Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s),source_file
10,0.0,86.7,0.0,21290.0,128.246,21400053,25.19737482070923,merged_training_metrics.csv
11,0.0,86.8,0.0,21290.0,130.012,21523556,24.940365076065063,merged_training_metrics.csv
12,0.0,87.4,0.0,21290.0,128.727,21644096,24.989306449890137,merged_training_metrics.csv
13,0.2,87.4,0.0,21290.0,130.768,21764896,24.98527431488037,merged_training_metrics.csv
14,0.2,87.5,0.0,21290.0,129.32,21885988,24.83809804916382,merged_training_metrics.csv
15,0.0,87.6,0.0,21290.0,114.337,22012330,25.15123152732849,merged_training_metrics.csv
16,0.0,87.7,0.0,21290.0,130.353,22134740,24.990089178085327,merged_training_metrics.csv
17,0.0,87.8,0.0,21290.0,129.478,22256564,24.8978807926178,merged_training_metrics.csv
18,0.0,87.9,0.0,21290.0,129.822,22378682,25.32983994483948,merged_training_metrics.csv
19,0.0,87.0,0.0,21290.0,129.942,22504187,25.10360550880432,merged_training_metrics.csv
20,0.0,87.2,0.0,21290.0,129.97,22632949,25.000483989715576,merged_training_metrics.csv
21,0.0,87.3,0.0,21290.0,130.433,22764251,25.10622358322144,merged_training_metrics.csv
22,0.2,87.4,0.0,21290.0,130.219,22887167,25.01826500892639,merged_training_metrics.csv
23,0.0,87.4,0.0,21290.0,130.144,23010294,25.1727261543274,merged_training_metrics.csv
24,0.0,87.5,0.0,21290.0,130.257,23130956,25.12254786491394,merged_training_metrics.csv
25,0.0,87.6,0.0,21290.0,130.71,23261893,24.907108783721924,merged_training_metrics.csv
26,0.0,87.7,0.0,21290.0,131.733,23390444,24.924317598342896,merged_training_metrics.csv
27,0.0,87.8,0.0,21290.0,130.88,23518579,25.169247150421143,merged_training_metrics.csv
28,0.0,88.0,0.0,21290.0,132.79899999999998,23640929,24.95016503334045,merged_training_metrics.csv
29,0.2,88.0,0.0,21290.0,130.624,23761880,24.94673156738281,merged_training_metrics.csv
30,0.2,88.2,0.0,21290.0,131.594,23886956,25.10626173019409,merged_training_metrics.csv
1,0.0,93.0,0.0,21302.0,128.22,27899206,73.5455412864685,merged_training_metrics.csv
2,0.0,93.1,0.0,21302.0,131.64,27966321,13.561492443084717,merged_training_metrics.csv
3,0.0,93.4,0.0,21302.0,135.026,28027403,13.460299968719482,merged_training_metrics.csv
4,0.0,93.5,0.0,21302.0,135.49900000000002,28088405,13.577349662780762,merged_training_metrics.csv
5,0.0,93.1,0.0,21302.0,135.73399999999998,28150037,13.536819219589232,merged_training_metrics.csv
6,0.0,93.4,0.0,21302.0,131.896,28210975,13.481176137924194,merged_training_metrics.csv
7,0.0,93.6,0.0,21302.0,135.311,28271606,13.447756052017212,merged_training_metrics.csv
8,0.0,93.8,0.0,21302.0,132.729,28332608,13.3265962600708,merged_training_metrics.csv
9,0.0,94.0,0.0,21302.0,131.91,28396529,13.773296356201172,merged_training_metrics.csv
10,0.0,94.1,0.0,21302.0,132.78300000000002,28467313,13.71315622329712,merged_training_metrics.csv
1,0.0,95.7,0.0,21306.0,125.772,28567256,73.0547707080841,merged_training_metrics.csv
2,0.0,95.3,0.0,21306.0,134.694,28628993,13.542824268341064,merged_training_metrics.csv
3,0.2,95.6,0.0,21306.0,132.527,28690147,13.974347114562988,merged_training_metrics.csv
4,0.0,95.9,0.0,21306.0,131.981,28751121,14.180325508117676,merged_training_metrics.csv
5,0.0,96.1,0.0,21306.0,134.65,28812075,14.13450574874878,merged_training_metrics.csv
6,0.0,96.3,0.0,21306.0,136.242,28872879,13.881930112838743,merged_training_metrics.csv
7,0.0,96.5,0.0,21306.0,133.413,28935337,13.57487416267395,merged_training_metrics.csv
8,0.0,96.6,0.0,21306.0,131.615,28996705,13.932617664337158,merged_training_metrics.csv
9,0.0,96.8,0.0,21306.0,133.252,29057989,13.928037643432615,merged_training_metrics.csv
10,0.0,96.9,0.0,21306.0,136.3,29119781,13.591823816299438,merged_training_metrics.csv
11,0.0,97.2,0.0,21306.0,138.40699999999998,29181521,13.480637550354004,merged_training_metrics.csv
12,0.0,97.3,0.0,21306.0,136.303,29242407,13.470114707946776,merged_training_metrics.csv
13,0.0,97.4,0.0,21306.0,134.505,29302333,13.58176064491272,merged_training_metrics.csv
14,0.2,95.9,0.0,21306.0,137.415,29363145,13.754302978515623,merged_training_metrics.csv
15,0.0,96.2,0.0,21306.0,137.451,29424969,13.641384601593018,merged_training_metrics.csv
16,0.0,96.3,0.0,21306.0,136.979,29498432,13.691389799118042,merged_training_metrics.csv
17,0.0,96.5,0.0,21306.0,136.37,29581420,13.467721223831177,merged_training_metrics.csv
18,0.2,96.7,0.0,21306.0,136.368,29643147,13.846447944641112,merged_training_metrics.csv
19,0.0,96.9,0.0,21306.0,137.798,29703903,13.631599426269531,merged_training_metrics.csv
20,0.0,97.0,0.0,21306.0,139.67,29765295,14.122799396514893,merged_training_metrics.csv
1,0.0,92.3,0.0,21294.0,124.451,23991339,73.52200365066528,merged_training_metrics.csv
2,0.0,92.1,0.0,21294.0,128.668,24052534,13.728511810302734,merged_training_metrics.csv
3,0.0,92.4,0.0,21294.0,135.788,24114056,13.7563796043396,merged_training_metrics.csv
4,0.0,92.6,0.0,21294.0,133.061,24175289,13.43325972557068,merged_training_metrics.csv
5,0.2,92.9,0.0,21294.0,133.851,24236329,13.419409036636353,merged_training_metrics.csv
6,0.0,93.1,0.0,21294.0,135.565,24297377,13.401711225509644,merged_training_metrics.csv
7,0.0,92.2,0.0,21294.0,133.986,24357329,13.481788396835327,merged_training_metrics.csv
8,0.0,92.5,0.0,21294.0,131.196,24419147,13.404047966003418,merged_training_metrics.csv
9,0.0,92.8,0.0,21294.0,133.79,24480921,13.384863138198853,merged_training_metrics.csv
10,0.0,93.0,0.0,21294.0,135.185,24540915,13.411166667938232,merged_training_metrics.csv
1,0.0,94.0,0.0,21296.0,116.76,24640591,73.32498288154602,merged_training_metrics.csv
2,0.0,93.6,0.0,21296.0,133.7,24702723,13.799702882766724,merged_training_metrics.csv
3,0.0,93.8,0.0,21296.0,133.409,24764802,13.5794517993927,merged_training_metrics.csv
4,0.0,93.9,0.0,21296.0,133.16,24829502,13.71760606765747,merged_training_metrics.csv
5,0.0,93.4,0.0,21296.0,130.095,24890441,13.595638513565063,merged_training_metrics.csv
6,0.0,93.7,0.0,21296.0,133.87,24951657,13.587061882019045,merged_training_metrics.csv
7,0.0,93.9,0.0,21296.0,134.655,25013253,13.425745964050291,merged_training_metrics.csv
8,0.0,94.1,0.0,21296.0,133.938,25072815,13.614213943481444,merged_training_metrics.csv
9,0.0,94.4,0.0,21296.0,132.037,25134051,13.729493141174316,merged_training_metrics.csv
10,0.0,94.5,0.0,21296.0,132.437,25195579,13.923715114593506,merged_training_metrics.csv
11,0.0,94.7,0.0,21296.0,133.12900000000002,25258134,14.013166427612305,merged_training_metrics.csv
12,0.0,94.0,0.0,21296.0,135.899,25319116,13.769020318984984,merged_training_metrics.csv
13,0.0,94.2,0.0,21296.0,134.867,25379926,13.660505533218384,merged_training_metrics.csv
14,0.0,94.4,0.0,21296.0,134.934,25463991,13.585689067840576,merged_training_metrics.csv
15,0.0,94.7,0.0,21296.0,131.923,25530699,13.60293459892273,merged_training_metrics.csv
